target_text_fa	target_text	prefix	input_text
برای دست دادن با شخص ایکس	to shake hands with person X	oWant	PersonX accompanies PersonY far
سودمند	useful	xAttr	PersonX accompanies PersonY far
شخص ایکس به جای دیگری رفته است.	PersonX has gone elsewhere.	xEffect	PersonX accompanies PersonY far
برای حفظ شخص و همراهان	to keep person y company	xIntent	PersonX accompanies PersonY far
خوشحال	happy	xReact	PersonX accompanies PersonY far
صورت شخص ایکس سرخ می شود	PersonX's face blushes	oEffect	PersonX accompanies by PersonX's wife
سپاسگزار	thankful	oReact	PersonX accompanies by PersonX's wife
مهربان	kind	xAttr	PersonX accompanies by PersonX's wife
تا همسرش را بگیرند	to get their wife	xNeed	PersonX accompanies by PersonX's wife
بسیار خوب.	fine	xReact	PersonX accompanies by PersonX's wife
برای رسیدن به مقصدشان	to get to their destination	xWant	PersonX accompanies by PersonX's wife
برای پاداش به شخص ایکس	to reward PersonX	oWant	PersonX accomplishes PersonX's mission
به خاطر همکاریش پاداش می گیرد	gets a reward for the contribution	xEffect	PersonX accomplishes PersonX's mission
برای رسیدن به هدف	to reach the goal	xIntent	PersonX accomplishes PersonX's mission
برای درک ماموریتشان	to understand their mission	xNeed	PersonX accomplishes PersonX's mission
مغرور	proud	xReact	PersonX accomplishes PersonX's mission
برای تبریک گفتن به خودشان	to congratulate themselves	xWant	PersonX accomplishes PersonX's mission
به دردسر می افتد	gets in trouble	oEffect	PersonX accomplishes PersonY's objectives
از کمکتان سپاسگزارم.	grateful for the help.	oReact	PersonX accomplishes PersonY's objectives
تا اجازه ندهد شخص ایکس برود	to not let PersonX go	oWant	PersonX accomplishes PersonY's objectives
سخت کوش	hard working	xAttr	PersonX accomplishes PersonY's objectives
کارها را تمام می کند	finishes tasks	xEffect	PersonX accomplishes PersonY's objectives
برای کمک.	to help.	xIntent	PersonX accomplishes PersonY's objectives
برای صحبت با شخصی	to talk to PersonY	xNeed	PersonX accomplishes PersonY's objectives
کمک کننده.	helpful.	xReact	PersonX accomplishes PersonY's objectives
سپاسگزارم.	grateful	oEffect	PersonX accomplishes PersonY's work
کمبود	lacking	oReact	PersonX accomplishes PersonY's work
برای تشکر از شخص ایکس	to thank person x	oWant	PersonX accomplishes PersonY's work
کمک کننده	helpful	xAttr	PersonX accomplishes PersonY's work
دستگیر می شود	gets caught	xEffect	PersonX accomplishes PersonY's work
برای اطمینان از انجام کارها	to make sure the work is done	xIntent	PersonX accomplishes PersonY's work
برای کمک به شخصی که	to help person y	xWant	PersonX accomplishes PersonY's work
سنگینی سر را احساس کردم	felt headweight	oEffect	PersonX accuses PersonY of cheating
عصبانی	angry	oReact	PersonX accuses PersonY of cheating
برای احساس تاسف	to feel sorry	oWant	PersonX accuses PersonY of cheating
حسود	envious	xAttr	PersonX accuses PersonY of cheating
بخشش بدهید	give forgive	xEffect	PersonX accuses PersonY of cheating
اثبات تقلب	proof of the cheating	xNeed	PersonX accuses PersonY of cheating
تبرئه شده	justified	xReact	PersonX accuses PersonY of cheating
برای مجازات کردن	to punish	xWant	PersonX accuses PersonY of cheating
فریاد می زند	cries	oEffect	PersonX accuses ___ of cheating
ترسان	scared	oReact	PersonX accuses ___ of cheating
برای بخشیدن	to be forgiven	oWant	PersonX accuses ___ of cheating
حسود	jealous	xAttr	PersonX accuses ___ of cheating
تا کسی را مجازات کند	to punish someone	xIntent	PersonX accuses ___ of cheating
برای داشتن یک رابطه	to be in a relationship	xNeed	PersonX accuses ___ of cheating
عصبانی	angry	xReact	PersonX accuses ___ of cheating
برای ناامید کردن	to seperate	xWant	PersonX accuses ___ of cheating
امیدها و رویاهای خود را از دست می دهد	loses hopes and dreams	oEffect	PersonX achieves PersonY goal
آسیب دیده	hurt	oReact	PersonX achieves PersonY goal
تا هدف بالاتری را برای شخص ایکس تعیین کنیم.	to set a higher goal for PersonX	oWant	PersonX achieves PersonY goal
توسط شخصی تشکر می شود.	gets thanked by personY	xEffect	PersonX achieves PersonY goal
برای خوشحال کردن	to make happy	xIntent	PersonX achieves PersonY goal
برای رسیدن به هدف ها	to work towards goals	xNeed	PersonX achieves PersonY goal
بسیار خوشحال	very happy	xReact	PersonX achieves PersonY goal
برای موفقیت	to be a success	xWant	PersonX achieves PersonY goal
کنجکاو	curious	xAttr	PersonX achieves PersonY understanding
شخص ایکس اطلاعات را منتقل می کند.	PersonX imparts knowledge.	xEffect	PersonX achieves PersonY understanding
آن ها را متقاعد کنید	convice them	xIntent	PersonX achieves PersonY understanding
خودش همه چیز را بفهمد	to understand things himself	xNeed	PersonX achieves PersonY understanding
دانشمند	knowledgeable	xReact	PersonX achieves PersonY understanding
برای مطالعه بیشتر	to study more	xWant	PersonX achieves PersonY understanding
لبخند	smiles	oEffect	PersonX acknowledges gratefully the ___
راضی، خوشحال	satisfied,happy	oReact	PersonX acknowledges gratefully the ___
برای شخص ایکس که از آن استفاده کند	for personX to use it	oWant	PersonX acknowledges gratefully the ___
تلقین آمیز	Appreciative	xAttr	PersonX acknowledges gratefully the ___
شخص ایکس از حرف زدنش فریاد می زند:	PersonX cries from his talk	xEffect	PersonX acknowledges gratefully the ___
مهربانی به دیگران	kindness to others	xIntent	PersonX acknowledges gratefully the ___
با کسانی که شناخته شده اند تماس بگیرید	make contact with those who are acknowledge	xNeed	PersonX acknowledges gratefully the ___
از دستورات پیروی کنید	follow the advice	xWant	PersonX acknowledges gratefully the ___
محصولاتشان را بفروشند	sell their product	oEffect	PersonX acts as PersonY agent
کمک کرد	helped	oReact	PersonX acts as PersonY agent
برای بستن یک حراج	to close a sale	oWant	PersonX acts as PersonY agent
کمک کننده	helpful	xAttr	PersonX acts as PersonY agent
شهرت به دست آوردن	making the fame	xEffect	PersonX acts as PersonY agent
برای پول درآوردن	to make money	xIntent	PersonX acts as PersonY agent
خوب است.	good	xReact	PersonX acts as PersonY agent
پول می گیرد	gets cash	oEffect	PersonX acts as PersonY intermediary
راحت باشم.	at ease	oReact	PersonX acts as PersonY intermediary
گوش کردن	Listening	xAttr	PersonX acts as PersonY intermediary
تا در موقعیتی قرار بگیرم که بتونم به شخصی کمک کنم.	to be in position to help persony	xNeed	PersonX acts as PersonY intermediary
اعتماد به نفس	confident	xReact	PersonX acts as PersonY intermediary
برای کمک کردن	to help	xWant	PersonX acts as PersonY intermediary
برای تغییر مسیر	to change the path	oWant	PersonX acts in PersonY way
مای هارترو ببینم.	MAY GET HURT	xEffect	PersonX acts in PersonY way
بامزه است.	funny	xIntent	PersonX acts in PersonY way
برای اینکه ببینیم شخصی چگونه عمل می کند.	to see how personY acts	xNeed	PersonX acts in PersonY way
رضایت خاطر	satisfied	xReact	PersonX acts in PersonY way
برای صدمه زدن به ای	to hurt Y	xWant	PersonX acts in PersonY way
لطف و محبت را دریافت می کند	receives kindness	oEffect	PersonX acts on PersonY's behalf
کمک کرد	helped	oReact	PersonX acts on PersonY's behalf
برای کمک گرفتن	to have help	oWant	PersonX acts on PersonY's behalf
آرام باش	calm	xAttr	PersonX acts on PersonY's behalf
استرس ها	stresses	xEffect	PersonX acts on PersonY's behalf
برای کمک به یک دوست	to help a friend	xIntent	PersonX acts on PersonY's behalf
برای محافظت از شخصی که	to protect person y	xNeed	PersonX acts on PersonY's behalf
خوشحال	happy	xReact	PersonX acts on PersonY's behalf
محیط پذیرفته می شود	environment gets accepted	oEffect	PersonX adapts to PersonY's environment
مثل اینکه آنها مسئولند.	like they're in charge	oReact	PersonX adapts to PersonY's environment
برای کنترل کردن	to be in control	oWant	PersonX adapts to PersonY's environment
انعطاف پذیر	flexible	xAttr	PersonX adapts to PersonY's environment
نظر جدیدی پیدا می کند	gets a new point of view	xEffect	PersonX adapts to PersonY's environment
برای اینکه در آن جا بگیریم	to fit in	xIntent	PersonX adapts to PersonY's environment
برای هماهنگی با...	to accomodate y	xWant	PersonX adapts to PersonY's environment
از آن ها دوری می کند	avoids them	oEffect	PersonX adds ___ to injury
بد	bad	oReact	PersonX adds ___ to injury
هرگز با شخص ایکس صحبت نکن	never speak to PersonX again	oWant	PersonX adds ___ to injury
اشتباه است.	wrong	xAttr	PersonX adds ___ to injury
نتایج را قبول کنید	accept consequences	xEffect	PersonX adds ___ to injury
وضعیت را بدتر کند	make the situation worse	xNeed	PersonX adds ___ to injury
گناهکار	guilty	xReact	PersonX adds ___ to injury
تا بر کسی تأثیر بگذارد	to influence someone	xWant	PersonX adds ___ to injury
او را باندپیچی می کند	bandages him	oEffect	PersonX adds fuel to the fire
خشمگین	angered	oReact	PersonX adds fuel to the fire
برای پیروزی در مباحثه	to win the argument	oWant	PersonX adds fuel to the fire
بی مسئولیت	irresponsible	xAttr	PersonX adds fuel to the fire
برای اینکه یک اندرز دهنده باشم	to be an instigator	xIntent	PersonX adds fuel to the fire
تا با کسی روبرو شوم	to confront someone	xNeed	PersonX adds fuel to the fire
شيطان صفت	evil	xReact	PersonX adds fuel to the fire
برای اطمینان از اینکه سوخت درست در آتش قرار گرفته است	to make sure the fuel is correctly placed in the fire	xWant	PersonX adds fuel to the fire
کتاب مقدس را بیشتر بخوانید	read Bible more	oEffect	PersonX administers the lord 's ___
به آن توجه داشتند	tended to	oReact	PersonX administers the lord 's ___
شام بخورید	eat the supper	oWant	PersonX administers the lord 's ___
تشکر می کند	Gives thanks	xEffect	PersonX administers the lord 's ___
شام ارباب را آماده می کند	administers the lord 's supper	xIntent	PersonX administers the lord 's ___
شام درست کردن	fix supper	xNeed	PersonX administers the lord 's ___
خیلی شبیه	very like	xReact	PersonX administers the lord 's ___
بشقاب لرد را بردار	pick up lords plate	xWant	PersonX administers the lord 's ___
تحسین کننده	admiring	xAttr	PersonX admires PersonY's work
احساساتی مربوط به تأثیرات کار دارد	Has sensations related to impressions of work	xEffect	PersonX admires PersonY's work
تا به آن ها نشان دهد که چقدر از این کار خوششان می آید.	to show them how much they like it	xIntent	PersonX admires PersonY's work
تا با شخصی تماس بگیرد.	to contact PersonY	xNeed	PersonX admires PersonY's work
حسود	envious	xReact	PersonX admires PersonY's work
تا کارهای دیگر شخصی را ببیند.	to see PersonY's other works	xWant	PersonX admires PersonY's work
از صداقت آن ها قدردانی می کند	appreciates their honesty	oEffect	PersonX admits PersonY was wrong
توهین شده	insulted	oReact	PersonX admits PersonY was wrong
اشتباهشان را جبران کنند	fix their mistake	oWant	PersonX admits PersonY was wrong
جستجوگر	Seeker	xAttr	PersonX admits PersonY was wrong
به خاطر صداقتش محترم است	is respected for honesty	xEffect	PersonX admits PersonY was wrong
برای راستگو بودن	to be truthful	xIntent	PersonX admits PersonY was wrong
مخالفت با چیزی.	to disagree about something.	xNeed	PersonX admits PersonY was wrong
عصبانی	angry	xWant	PersonX admits PersonY was wrong
نهاد پذیرفته شده وارد اتحادیه می شود	Admitted entity enters the union	oEffect	PersonX admits ___ into the union
متحد شده اند	united	oReact	PersonX admits ___ into the union
رای دادن	to vote	oWant	PersonX admits ___ into the union
وابسته به جودی	judicial	xAttr	PersonX admits ___ into the union
در مورد اتحادیه سختگیری می کند	stresses about the union	xEffect	PersonX admits ___ into the union
اضافه کردن	to add	xIntent	PersonX admits ___ into the union
قدرتمند	powerful	xReact	PersonX admits ___ into the union
زندگی خود را می گذراند	lives their life	oEffect	PersonX adopts a baby
دوست داشتم	loved	oReact	PersonX adopts a baby
توسط پدر و مادر تغذیه شود	be fed by parent	oWant	PersonX adopts a baby
ناراحت کننده	uneasy	xAttr	PersonX adopts a baby
کاغذها را پر کنید	fill out paperwork	xNeed	PersonX adopts a baby
مسئولیت پذیر	responsible	xReact	PersonX adopts a baby
از بچه مراقبت کنید	take care of the baby	xWant	PersonX adopts a baby
شخص ایکس پدر می شود	PersonX becomes a parent	xEffect	PersonX adopts a child
بچه دار شدن	to have a child	xIntent	PersonX adopts a child
برای مراجعه به آژانس فرزندخواندگی	to apply to adoption agency	xNeed	PersonX adopts a child
دوست داشتم	loved	xReact	PersonX adopts a child
تا بچه را به اتاق جدیدشان راهنمایی کنند	to show child to their new room	xWant	PersonX adopts a child
امنیت	security	oEffect	PersonX adopts a little girl
بخشی از یک خانواده	part of a family	oReact	PersonX adopts a little girl
برای پدر و مادر شدن	to be parented	oWant	PersonX adopts a little girl
گرم	warm	xAttr	PersonX adopts a little girl
هیجان زده می شود	gets excited	xEffect	PersonX adopts a little girl
بخشی از یک خانواده بودن	to be part of a family	xIntent	PersonX adopts a little girl
برای دیدار از خانه	to do a home visit	xNeed	PersonX adopts a little girl
شگفت انگیز است.	amazing	xReact	PersonX adopts a little girl
جیغ ها	screams	oEffect	PersonX advances towards PersonY
خوشحال	happy	oReact	PersonX advances towards PersonY
تا منتظر شخص ایکس بمانیم.	to wait for person X	oWant	PersonX advances towards PersonY
تهدیدآمیز	threatening	xAttr	PersonX advances towards PersonY
مورد اصابت گل و لای قرار گرفته است.	is aroused	xEffect	PersonX advances towards PersonY
برای نزدیک تر شدن	to get closer	xIntent	PersonX advances towards PersonY
برای تبریک گفتن به شخصی که	to congratulate person y	xWant	PersonX advances towards PersonY
عرق می ریزند و می لرزند چون شخص ایکس یک قاتل زنجیره ای شناخته شده است.	are sweating and shaking because PersonX is a well-known serial killer	oEffect	PersonX advances upon PersonY
نگران عصبی	worried nervous	oReact	PersonX advances upon PersonY
از خودشان دفاع کنند	too defend themselves	oWant	PersonX advances upon PersonY
ترسناک	scary	xAttr	PersonX advances upon PersonY
ترفیع می یابد	gets promoted	xEffect	PersonX advances upon PersonY
به صفحه شخصی بروید.	go to PersonY	xNeed	PersonX advances upon PersonY
علاقمند و خوشحال	interested happy	xReact	PersonX advances upon PersonY
برای روبرو شدن با شخصی	to confront PersonY	xWant	PersonX advances upon PersonY
گوش کن	listen	oEffect	PersonX advises PersonY to take
باهوش تر	smarter	oReact	PersonX advises PersonY to take
برای گرفتن یک درجه آب	to get a class of water	oWant	PersonX advises PersonY to take
بالغ شدن	mature	xAttr	PersonX advises PersonY to take
برای اطلاع رسانی به دیگران	to inform another	xIntent	PersonX advises PersonY to take
برای فکر کردن به خرد	to think of wisdom	xNeed	PersonX advises PersonY to take
کمک کننده	helpful	xReact	PersonX advises PersonY to take
به زی هم توصیه کند که	to advice Z also to take	xWant	PersonX advises PersonY to take
تحسین آمیز	appreciative	oEffect	PersonX advises the ___ on all matters
بر آن ها تسلط یافته است.	dominated	oReact	PersonX advises the ___ on all matters
درس دادن به شخص ایکس	to lesson to PersonX	oWant	PersonX advises the ___ on all matters
سرباز خدمتکار	servant	xEffect	PersonX advises the ___ on all matters
تا تأثیرگذار باشد	to be influential	xIntent	PersonX advises the ___ on all matters
برای نابود کردن همه مسائل	TO KNOW ABOUT ALL THE MATTERS	xNeed	PersonX advises the ___ on all matters
قدرتمند	powerful	xReact	PersonX advises the ___ on all matters
برای سرکوب کردن متخلفین	TO OBSERVE THE OPPONENT	xWant	PersonX advises the ___ on all matters
متفکرانه	thoughtful	xAttr	PersonX advises the ___ on matters
باید در جریان بماند	has to stay informed	xEffect	PersonX advises the ___ on matters
برای کمک کردن.	to be helpful.	xIntent	PersonX advises the ___ on matters
با آن ها حرف بزن	speak to them	xNeed	PersonX advises the ___ on matters
دارای نفوذ.	influential.	xReact	PersonX advises the ___ on matters
بگو من این را به تو گفتم	say I told you so	xWant	PersonX advises the ___ on matters
سپاسگزار است	is grateful	oEffect	PersonX affects PersonY's lives
کنترل شده	controlled	oReact	PersonX affects PersonY's lives
برای پرداخت قبض ها.	to pay bills.	oWant	PersonX affects PersonY's lives
طاقت فرسا	overwhelming	xAttr	PersonX affects PersonY's lives
متشکر است.	is thanked	xEffect	PersonX affects PersonY's lives
برای کنترل کردن	to be in control	xIntent	PersonX affects PersonY's lives
برای انجام یک کار خوب.	to do a good deed.	xNeed	PersonX affects PersonY's lives
برای جشن گرفتن.	to celebrate.	xWant	PersonX affects PersonY's lives
ضدیت با ایکس	Rebel against X	oEffect	PersonX affects ___ in ways
ناراحت	upset	oReact	PersonX affects ___ in ways
شکایت کردن	complain	oWant	PersonX affects ___ in ways
بامزه است.	funny	xAttr	PersonX affects ___ in ways
واکنش آن ها را می بیند	watches their affects	xEffect	PersonX affects ___ in ways
برای جستجو	to search	xIntent	PersonX affects ___ in ways
مسئولیت پذیر	responsible	xReact	PersonX affects ___ in ways
سپاسگزار می شود	becomes grateful	oEffect	PersonX affects a person 's ___
تحت تاثیر قرار گرفته است.	influenced	oReact	PersonX affects a person 's ___
برای آموختن درس ها	to take in lessons	oWant	PersonX affects a person 's ___
برتر از همه	dominant	xAttr	PersonX affects a person 's ___
کف زدن	claps	xEffect	PersonX affects a person 's ___
برای برقراری ارتباط	to have an interaction	xNeed	PersonX affects a person 's ___
دارای نفوذ	influential	xReact	PersonX affects a person 's ___
برای فراهم کردن راهنمایی	to provide guidance	xWant	PersonX affects a person 's ___
ثروتش را از دست بدهد	lose wealth	oEffect	PersonX affects adversely the ___
بد، آزاردهنده	bad, irritaiting	oReact	PersonX affects adversely the ___
برای دوری از شخص ایکس	to stay away from PersonX	oWant	PersonX affects adversely the ___
خطرناک	harmful	xAttr	PersonX affects adversely the ___
یک نفر را پایین بیاورید	bring someone down	xIntent	PersonX affects adversely the ___
برای صحبت کردن در کلاس	to talk in class	xNeed	PersonX affects adversely the ___
سرنگون شده	dejected	xReact	PersonX affects adversely the ___
برای بدست آوردن قدرت	to gain power	xWant	PersonX affects adversely the ___
نظرش عوض می شود.	Changes opinion	oEffect	PersonX affects one 's ___
بدبخت و منزجر	unhappy,dissatified	oReact	PersonX affects one 's ___
برای رهایی از شر او	to get rid of him	oWant	PersonX affects one 's ___
مهارت جدیدی یاد می گیرد	learns a new skill	xEffect	PersonX affects one 's ___
یک تأثیر مثبت مادی باشد که بتواند زندگی دیگران را تسکین دهد و آرامش بخشد.	be a materially positive influence able to bring relief & comfort to other people's lives.	xIntent	PersonX affects one 's ___
تا آن ها را آشفته کند.	to disturb them	xNeed	PersonX affects one 's ___
ناشاد و نگران	unhappy,worried	xReact	PersonX affects one 's ___
برای صدمه زدن به آنها	to hurt them	xWant	PersonX affects one 's ___
مردم لبخند می زنند	People smile	oEffect	PersonX affects people 's ___
تحت تأثیر قرار گرفته، تغییر یافته و کنترل شده	influenced, changed, controlled	oReact	PersonX affects people 's ___
تأثیرگذار	influencial	xAttr	PersonX affects people 's ___
شخص ایکس جایزه می گیرد.	PersonX is awarded	xEffect	PersonX affects people 's ___
تا تاثیر گذارد	to influence	xIntent	PersonX affects people 's ___
تا توجه آن ها را به خود جلب کند.	to get their attention	xNeed	PersonX affects people 's ___
تحت کنترل	in control	xReact	PersonX affects people 's ___
به رسمیت شناخته شود	be acknowledged	xWant	PersonX affects people 's ___
تا از این فرصت استفاده کنیم	to make the most of the chance	oWant	PersonX affords PersonY opportunity
علاقه مند شدن به	caring	xAttr	PersonX affords PersonY opportunity
اطلاعات را از شخص ی می آموزد.	learns information from Person Y.	xEffect	PersonX affords PersonY opportunity
برای اینکه به شخصیت فرصتی بدیم	to give persony a chance	xIntent	PersonX affords PersonY opportunity
کاوندز برای غلتیدن در طوفان با تنگ نظری	KNOWLEDGE TO FOLLOW THROUGH WITH OPPPORTUNITY	xNeed	PersonX affords PersonY opportunity
خوشحال	happy	xReact	PersonX affords PersonY opportunity
برای رسیدن به موفقیت	to see PersonY reach success	xWant	PersonX affords PersonY opportunity
از چیزی که می گیرد لذت می برد	Enjoys what he gets	oEffect	PersonX affords PersonY pleasure
مخصوص.	special.	oReact	PersonX affords PersonY pleasure
برای پیدا کردن چیزی که شخص ایکس می خواهد	to find what PersonX wants	oWant	PersonX affords PersonY pleasure
بدون خودپرست	Selfless	xAttr	PersonX affords PersonY pleasure
از شما تشکر می کند	gets a thank you	xEffect	PersonX affords PersonY pleasure
تا کاری برای یک دوست انجام دهد.	to do something pleasant for a friend.	xIntent	PersonX affords PersonY pleasure
برای درک شخصیت	to understand PersonY	xNeed	PersonX affords PersonY pleasure
رضایت خاطر	satisfied	xReact	PersonX affords PersonY pleasure
می گوید نه	says no	oEffect	PersonX affords PersonY the opportunity
سپاسگزارم.	grateful	oReact	PersonX affords PersonY the opportunity
پروردگارا!	gracious	xAttr	PersonX affords PersonY the opportunity
تا از شخصی پیروی کنند.	to follow up with PersonY	xWant	PersonX affords PersonY the opportunity
پروانه ها در شکمشان	butterflies in their stomach	oEffect	PersonX agrees to a date
برای آماده شدن برای تاریخ ملاقات	to get ready for the date	oWant	PersonX agrees to a date
علاقه مند	interested	xAttr	PersonX agrees to a date
گل ها را دریافت می کند	receives flowers	xEffect	PersonX agrees to a date
برای آغاز یک رابطه	to start a relationship	xIntent	PersonX agrees to a date
برای فکر کردن درباره تاریخ	to think about the date	xNeed	PersonX agrees to a date
عصبی	nervous	xReact	PersonX agrees to a date
برای دوش گرفتن	to take a shower	xWant	PersonX agrees to a date
پشتیبان کننده	supportive	oReact	PersonX agrees to go with PersonY
برای گذراندن زمان با ایکس	To spend time with X	oWant	PersonX agrees to go with PersonY
قابل پذیرش	agreeable	xAttr	PersonX agrees to go with PersonY
شخص ایکس همه چیز را درست می کند	PersonX smoothes things over	xEffect	PersonX agrees to go with PersonY
برای رفتن به یک قرار ملاقات	to go on a date	xIntent	PersonX agrees to go with PersonY
تا بدانند به کجا می روند.	to know where they are going	xNeed	PersonX agrees to go with PersonY
هیجان زده	excited	xReact	PersonX agrees to go with PersonY
تا برای رفتن با شخصی ها لباس بپوشند.	to dress up to go with PersonY	xWant	PersonX agrees to go with PersonY
متشکرم.	thanked  x	oEffect	PersonX agrees to help PersonY
سپاسگزارم.	grateful	oReact	PersonX agrees to help PersonY
برای آسان کردن کار	to make a jobeasier	oWant	PersonX agrees to help PersonY
سرش را به سمت موضوع برمی گرداند.	turns head towards the issue	xEffect	PersonX agrees to help PersonY
برای کمک	to of assistance	xIntent	PersonX agrees to help PersonY
برای صحبت با شخصی	to talk to PersonY	xNeed	PersonX agrees to help PersonY
مثل یک آدم خوب	like a good person	xReact	PersonX agrees to help PersonY
تا ببینیم چه نیازی داری	to see what y needs	xWant	PersonX agrees to help PersonY
هیجان زده	excited	oReact	PersonX agrees to try it
برای پرسیدن درباره روال جدید	to ask about new routine	oWant	PersonX agrees to try it
قابل پذیرش	agreeable	xAttr	PersonX agrees to try it
تجربه جدید	new experience	xEffect	PersonX agrees to try it
برای اینکه بدانم مزه اش چگونه است	to know how it tastes	xIntent	PersonX agrees to try it
برای صحبت کردن با یک آدم فهیم	to talk with someone knowlegeable	xNeed	PersonX agrees to try it
ماجراجو	adventurous	xReact	PersonX agrees to try it
قدم هایی را که برای امتحان آن لازم است در نظر بگیرید	think about the steps to try it	xWant	PersonX agrees to try it
به توافق می رسد	comes to an agreement	oEffect	PersonX agrees upon by the parties
با پلیس ها ملاقات می کنند تا وضعیت را مورد بحث قرار دهند.	are met with cops to discuss the situation	oEffect	PersonX airs PersonX's dirty laundry in public
خجالت زده	embarrassed	oReact	PersonX airs PersonX's dirty laundry in public
برای فکر کردن به آن	to think about it	oWant	PersonX airs PersonX's dirty laundry in public
غیرقابل اعتماد	Untrustworthy	xAttr	PersonX airs PersonX's dirty laundry in public
در اخبار مورد حمله قرار می گیرد	gets attacked in the news	xEffect	PersonX airs PersonX's dirty laundry in public
برای اینکه دنیا مشکل های ایکس را بداند	for the world to know x's problems	xIntent	PersonX airs PersonX's dirty laundry in public
نیازی به گفتن آن نیست.	to need to say it	xNeed	PersonX airs PersonX's dirty laundry in public
خجالت زده	embarrassed	xReact	PersonX airs PersonX's dirty laundry in public
در جستجوی مراقبت پزشکی باشند	seek medical attention	xWant	PersonX airs PersonX's dirty laundry in public
