target_text_fa	target_text	prefix	input_text
کمک کننده.	helpful.	xReact	PersonX accomplishes PersonY's objectives
کمبود	lacking	oReact	PersonX accomplishes PersonY's work
کمک کننده	helpful	xAttr	PersonX accomplishes PersonY's work
برای اطمینان از انجام کارها	to make sure the work is done	xIntent	PersonX accomplishes PersonY's work
برای کمک به شخصی که	to help person y	xWant	PersonX accomplishes PersonY's work
عصبانی	angry	oReact	PersonX accuses PersonY of cheating
حسود	envious	xAttr	PersonX accuses PersonY of cheating
اثبات تقلب	proof of the cheating	xNeed	PersonX accuses PersonY of cheating
تبرئه شده	justified	xReact	PersonX accuses PersonY of cheating
برای مجازات کردن	to punish	xWant	PersonX accuses PersonY of cheating
ترسان	scared	oReact	PersonX accuses ___ of cheating
حسود	jealous	xAttr	PersonX accuses ___ of cheating
تا کسی را مجازات کند	to punish someone	xIntent	PersonX accuses ___ of cheating
برای داشتن یک رابطه	to be in a relationship	xNeed	PersonX accuses ___ of cheating
عصبانی	angry	xReact	PersonX accuses ___ of cheating
برای ناامید کردن	to seperate	xWant	PersonX accuses ___ of cheating
آسیب دیده	hurt	oReact	PersonX achieves PersonY goal
علاقه مند شدن به	caring	xAttr	PersonX achieves PersonY goal
برای خوشحال کردن	to make happy	xIntent	PersonX achieves PersonY goal
برای رسیدن به هدف ها	to work towards goals	xNeed	PersonX achieves PersonY goal
بسیار خوشحال	very happy	xReact	PersonX achieves PersonY goal
برای موفقیت	to be a success	xWant	PersonX achieves PersonY goal
آگهی شده است	informed	oReact	PersonX achieves PersonY understanding
کنجکاو	curious	xAttr	PersonX achieves PersonY understanding
آن ها را متقاعد کنید	convice them	xIntent	PersonX achieves PersonY understanding
خودش همه چیز را بفهمد	to understand things himself	xNeed	PersonX achieves PersonY understanding
دانشمند	knowledgeable	xReact	PersonX achieves PersonY understanding
برای مطالعه بیشتر	to study more	xWant	PersonX achieves PersonY understanding
راضی، خوشحال	satisfied,happy	oReact	PersonX acknowledges gratefully the ___
تلقین آمیز	Appreciative	xAttr	PersonX acknowledges gratefully the ___
مهربانی به دیگران	kindness to others	xIntent	PersonX acknowledges gratefully the ___
با کسانی که شناخته شده اند تماس بگیرید	make contact with those who are acknowledge	xNeed	PersonX acknowledges gratefully the ___
کمک به گوزن ها	help to oters	xReact	PersonX acknowledges gratefully the ___
از دستورات پیروی کنید	follow the advice	xWant	PersonX acknowledges gratefully the ___
کمک کرد	helped	oReact	PersonX acts as PersonY agent
کمک کننده	helpful	xAttr	PersonX acts as PersonY agent
برای پول درآوردن	to make money	xIntent	PersonX acts as PersonY agent
برای کمک به شخص ای	to offer to help person Y	xNeed	PersonX acts as PersonY agent
خوب است.	good	xReact	PersonX acts as PersonY agent
برای فروش	to make a sale	xWant	PersonX acts as PersonY agent
راحت باشم.	at ease	oReact	PersonX acts as PersonY intermediary
گوش کردن	Listening	xAttr	PersonX acts as PersonY intermediary
مسئول بودن	to be responsible	xIntent	PersonX acts as PersonY intermediary
تا در موقعیتی قرار بگیرم که بتونم به شخصی کمک کنم.	to be in position to help persony	xNeed	PersonX acts as PersonY intermediary
اعتماد به نفس	confident	xReact	PersonX acts as PersonY intermediary
برای کمک کردن	to help	xWant	PersonX acts as PersonY intermediary
بامزه است.	funny	xIntent	PersonX acts in PersonY way
برای اینکه ببینیم شخصی چگونه عمل می کند.	to see how personY acts	xNeed	PersonX acts in PersonY way
رضایت خاطر	satisfied	xReact	PersonX acts in PersonY way
برای صدمه زدن به ای	to hurt Y	xWant	PersonX acts in PersonY way
کمک کرد	helped	oReact	PersonX acts on PersonY's behalf
آرام باش	calm	xAttr	PersonX acts on PersonY's behalf
برای کمک به یک دوست	to help a friend	xIntent	PersonX acts on PersonY's behalf
برای محافظت از شخصی که	to protect person y	xNeed	PersonX acts on PersonY's behalf
خوشحال	happy	xReact	PersonX acts on PersonY's behalf
مثل اینکه آنها مسئولند.	like they're in charge	oReact	PersonX adapts to PersonY's environment
انعطاف پذیر	flexible	xAttr	PersonX adapts to PersonY's environment
برای اینکه در آن جا بگیریم	to fit in	xIntent	PersonX adapts to PersonY's environment
برای هماهنگی با...	to accomodate y	xWant	PersonX adapts to PersonY's environment
بد	bad	oReact	PersonX adds ___ to injury
اشتباه است.	wrong	xAttr	PersonX adds ___ to injury
وضعیت را بدتر کند	make the situation worse	xNeed	PersonX adds ___ to injury
گناهکار	guilty	xReact	PersonX adds ___ to injury
تا بر کسی تأثیر بگذارد	to influence someone	xWant	PersonX adds ___ to injury
خشمگین	angered	oReact	PersonX adds fuel to the fire
بی مسئولیت	irresponsible	xAttr	PersonX adds fuel to the fire
برای اینکه یک اندرز دهنده باشم	to be an instigator	xIntent	PersonX adds fuel to the fire
تا با کسی روبرو شوم	to confront someone	xNeed	PersonX adds fuel to the fire
شيطان صفت	evil	xReact	PersonX adds fuel to the fire
برای اطمینان از اینکه سوخت درست در آتش قرار گرفته است	to make sure the fuel is correctly placed in the fire	xWant	PersonX adds fuel to the fire
به آن توجه داشتند	tended to	oReact	PersonX administers the lord 's ___
مهربان	kind	xAttr	PersonX administers the lord 's ___
شام ارباب را آماده می کند	administers the lord 's supper	xIntent	PersonX administers the lord 's ___
شام درست کردن	fix supper	xNeed	PersonX administers the lord 's ___
خیلی شبیه	very like	xReact	PersonX administers the lord 's ___
بشقاب لرد را بردار	pick up lords plate	xWant	PersonX administers the lord 's ___
مثل اینکه کارشان ارزش دارد	like their work has worth	oReact	PersonX admires PersonY's work
تحسین کننده	admiring	xAttr	PersonX admires PersonY's work
تا به آن ها نشان دهد که چقدر از این کار خوششان می آید.	to show them how much they like it	xIntent	PersonX admires PersonY's work
تا با شخصی تماس بگیرد.	to contact PersonY	xNeed	PersonX admires PersonY's work
حسود	envious	xReact	PersonX admires PersonY's work
تا کارهای دیگر شخصی را ببیند.	to see PersonY's other works	xWant	PersonX admires PersonY's work
توهین شده	insulted	oReact	PersonX admits PersonY was wrong
جستجوگر	Seeker	xAttr	PersonX admits PersonY was wrong
برای راستگو بودن	to be truthful	xIntent	PersonX admits PersonY was wrong
مخالفت با چیزی.	to disagree about something.	xNeed	PersonX admits PersonY was wrong
تبرئه شده	justified	xReact	PersonX admits PersonY was wrong
عصبانی	angry	xWant	PersonX admits PersonY was wrong
متحد شده اند	united	oReact	PersonX admits ___ into the union
وابسته به جودی	judicial	xAttr	PersonX admits ___ into the union
اضافه کردن	to add	xIntent	PersonX admits ___ into the union
برای اینکه تصمیم بگیریم به نفع ماست	to decide it's for the best	xNeed	PersonX admits ___ into the union
قدرتمند	powerful	xReact	PersonX admits ___ into the union
برای انجام کارهای دیگر	to do other work	xWant	PersonX admits ___ into the union
دوست داشتم	loved	oReact	PersonX adopts a baby
ناراحت کننده	uneasy	xAttr	PersonX adopts a baby
برای پدر شدن	to become a parent	xIntent	PersonX adopts a baby
کاغذها را پر کنید	fill out paperwork	xNeed	PersonX adopts a baby
مسئولیت پذیر	responsible	xReact	PersonX adopts a baby
از بچه مراقبت کنید	take care of the baby	xWant	PersonX adopts a baby
بچه دار شدن	to have a child	xIntent	PersonX adopts a child
برای مراجعه به آژانس فرزندخواندگی	to apply to adoption agency	xNeed	PersonX adopts a child
دوست داشتم	loved	xReact	PersonX adopts a child
تا بچه را به اتاق جدیدشان راهنمایی کنند	to show child to their new room	xWant	PersonX adopts a child
بخشی از یک خانواده	part of a family	oReact	PersonX adopts a little girl
گرم	warm	xAttr	PersonX adopts a little girl
بخشی از یک خانواده بودن	to be part of a family	xIntent	PersonX adopts a little girl
برای دیدار از خانه	to do a home visit	xNeed	PersonX adopts a little girl
شگفت انگیز است.	amazing	xReact	PersonX adopts a little girl
خوشحال	happy	oReact	PersonX advances towards PersonY
تهدیدآمیز	threatening	xAttr	PersonX advances towards PersonY
برای نزدیک تر شدن	to get closer	xIntent	PersonX advances towards PersonY
برای تبریک گفتن به شخصی که	to congratulate person y	xWant	PersonX advances towards PersonY
نگران عصبی	worried nervous	oReact	PersonX advances upon PersonY
ترسناک	scary	xAttr	PersonX advances upon PersonY
به صفحه شخصی بروید.	go to PersonY	xNeed	PersonX advances upon PersonY
علاقمند و خوشحال	interested happy	xReact	PersonX advances upon PersonY
برای روبرو شدن با شخصی	to confront PersonY	xWant	PersonX advances upon PersonY
باهوش تر	smarter	oReact	PersonX advises PersonY to take
بالغ شدن	mature	xAttr	PersonX advises PersonY to take
برای اطلاع رسانی به دیگران	to inform another	xIntent	PersonX advises PersonY to take
برای فکر کردن به خرد	to think of wisdom	xNeed	PersonX advises PersonY to take
کمک کننده	helpful	xReact	PersonX advises PersonY to take
به زی هم توصیه کند که	to advice Z also to take	xWant	PersonX advises PersonY to take
بر آن ها تسلط یافته است.	dominated	oReact	PersonX advises the ___ on all matters
یک رهبر	a leader	xAttr	PersonX advises the ___ on all matters
تا تأثیرگذار باشد	to be influential	xIntent	PersonX advises the ___ on all matters
برای نابود کردن همه مسائل	TO KNOW ABOUT ALL THE MATTERS	xNeed	PersonX advises the ___ on all matters
قدرتمند	powerful	xReact	PersonX advises the ___ on all matters
برای سرکوب کردن متخلفین	TO OBSERVE THE OPPONENT	xWant	PersonX advises the ___ on all matters
نصیحت شده.	advised.	oReact	PersonX advises the ___ on matters
متفکرانه	thoughtful	xAttr	PersonX advises the ___ on matters
برای کمک کردن.	to be helpful.	xIntent	PersonX advises the ___ on matters
با آن ها حرف بزن	speak to them	xNeed	PersonX advises the ___ on matters
دارای نفوذ.	influential.	xReact	PersonX advises the ___ on matters
بگو من این را به تو گفتم	say I told you so	xWant	PersonX advises the ___ on matters
کنترل شده	controlled	oReact	PersonX affects PersonY's lives
طاقت فرسا	overwhelming	xAttr	PersonX affects PersonY's lives
برای کنترل کردن	to be in control	xIntent	PersonX affects PersonY's lives
برای انجام یک کار خوب.	to do a good deed.	xNeed	PersonX affects PersonY's lives
محروم از همه چیز	obligated	xReact	PersonX affects PersonY's lives
برای جشن گرفتن.	to celebrate.	xWant	PersonX affects PersonY's lives
ناراحت	upset	oReact	PersonX affects ___ in ways
بامزه است.	funny	xAttr	PersonX affects ___ in ways
برای جستجو	to search	xIntent	PersonX affects ___ in ways
قدرت بدست آوردن	gain authority	xNeed	PersonX affects ___ in ways
مسئولیت پذیر	responsible	xReact	PersonX affects ___ in ways
گزارش ها را دریافت کنید	receive reports	xWant	PersonX affects ___ in ways
تحت تاثیر قرار گرفته است.	influenced	oReact	PersonX affects a person 's ___
برتر از همه	dominant	xAttr	PersonX affects a person 's ___
او بر زندگی یک شخص تأثیر می گذارد	she affects a person's life	xIntent	PersonX affects a person 's ___
برای برقراری ارتباط	to have an interaction	xNeed	PersonX affects a person 's ___
دارای نفوذ	influential	xReact	PersonX affects a person 's ___
برای فراهم کردن راهنمایی	to provide guidance	xWant	PersonX affects a person 's ___
بد، آزاردهنده	bad, irritaiting	oReact	PersonX affects adversely the ___
خطرناک	harmful	xAttr	PersonX affects adversely the ___
یک نفر را پایین بیاورید	bring someone down	xIntent	PersonX affects adversely the ___
برای صحبت کردن در کلاس	to talk in class	xNeed	PersonX affects adversely the ___
سرنگون شده	dejected	xReact	PersonX affects adversely the ___
برای بدست آوردن قدرت	to gain power	xWant	PersonX affects adversely the ___
بدبخت و منزجر	unhappy,dissatified	oReact	PersonX affects one 's ___
برتر از همه	dominant	xAttr	PersonX affects one 's ___
یک تأثیر مثبت مادی باشد که بتواند زندگی دیگران را تسکین دهد و آرامش بخشد.	be a materially positive influence able to bring relief & comfort to other people's lives.	xIntent	PersonX affects one 's ___
تا آن ها را آشفته کند.	to disturb them	xNeed	PersonX affects one 's ___
ناشاد و نگران	unhappy,worried	xReact	PersonX affects one 's ___
برای صدمه زدن به آنها	to hurt them	xWant	PersonX affects one 's ___
تحت تأثیر قرار گرفته، تغییر یافته و کنترل شده	influenced, changed, controlled	oReact	PersonX affects people 's ___
تأثیرگذار	influencial	xAttr	PersonX affects people 's ___
تا تاثیر گذارد	to influence	xIntent	PersonX affects people 's ___
تا توجه آن ها را به خود جلب کند.	to get their attention	xNeed	PersonX affects people 's ___
تحت کنترل	in control	xReact	PersonX affects people 's ___
به رسمیت شناخته شود	be acknowledged	xWant	PersonX affects people 's ___
همچنین خوشحال	also happy	oReact	PersonX affords PersonY opportunity
علاقه مند شدن به	caring	xAttr	PersonX affords PersonY opportunity
برای اینکه به شخصیت فرصتی بدیم	to give persony a chance	xIntent	PersonX affords PersonY opportunity
کاوندز برای غلتیدن در طوفان با تنگ نظری	KNOWLEDGE TO FOLLOW THROUGH WITH OPPPORTUNITY	xNeed	PersonX affords PersonY opportunity
خوشحال	happy	xReact	PersonX affords PersonY opportunity
برای رسیدن به موفقیت	to see PersonY reach success	xWant	PersonX affords PersonY opportunity
مخصوص.	special.	oReact	PersonX affords PersonY pleasure
بدون خودپرست	Selfless	xAttr	PersonX affords PersonY pleasure
تا کاری برای یک دوست انجام دهد.	to do something pleasant for a friend.	xIntent	PersonX affords PersonY pleasure
برای درک شخصیت	to understand PersonY	xNeed	PersonX affords PersonY pleasure
رضایت خاطر	satisfied	xReact	PersonX affords PersonY pleasure
برای سود بردن از شخصی	to benefit from PersonY	xWant	PersonX affords PersonY pleasure
سپاسگزارم.	grateful	oReact	PersonX affords PersonY the opportunity
پروردگارا!	gracious	xAttr	PersonX affords PersonY the opportunity
برای کمک کردن	to be helpful	xIntent	PersonX affords PersonY the opportunity
تا چیزی به شخصی تعارف کند.	to offer something to PersonY	xNeed	PersonX affords PersonY the opportunity
کمک کننده	helpful	xReact	PersonX affords PersonY the opportunity
تا از شخصی پیروی کنند.	to follow up with PersonY	xWant	PersonX affords PersonY the opportunity
شاد و شنگول	giddy	oReact	PersonX agrees to a date
علاقه مند	interested	xAttr	PersonX agrees to a date
برای آغاز یک رابطه	to start a relationship	xIntent	PersonX agrees to a date
برای فکر کردن درباره تاریخ	to think about the date	xNeed	PersonX agrees to a date
عصبی	nervous	xReact	PersonX agrees to a date
برای دوش گرفتن	to take a shower	xWant	PersonX agrees to a date
پشتیبان کننده	supportive	oReact	PersonX agrees to go with PersonY
قابل پذیرش	agreeable	xAttr	PersonX agrees to go with PersonY
برای رفتن به یک قرار ملاقات	to go on a date	xIntent	PersonX agrees to go with PersonY
تا بدانند به کجا می روند.	to know where they are going	xNeed	PersonX agrees to go with PersonY
هیجان زده	excited	xReact	PersonX agrees to go with PersonY
تا برای رفتن با شخصی ها لباس بپوشند.	to dress up to go with PersonY	xWant	PersonX agrees to go with PersonY
سپاسگزارم.	grateful	oReact	PersonX agrees to help PersonY
سخاوتمند	generous	xAttr	PersonX agrees to help PersonY
برای کمک	to of assistance	xIntent	PersonX agrees to help PersonY
برای صحبت با شخصی	to talk to PersonY	xNeed	PersonX agrees to help PersonY
مثل یک آدم خوب	like a good person	xReact	PersonX agrees to help PersonY
تا ببینیم چه نیازی داری	to see what y needs	xWant	PersonX agrees to help PersonY
برای اینکه بدانم مزه اش چگونه است	to know how it tastes	xIntent	PersonX agrees to try it
برای صحبت کردن با یک آدم فهیم	to talk with someone knowlegeable	xNeed	PersonX agrees to try it
ماجراجو	adventurous	xReact	PersonX agrees to try it
قدم هایی را که برای امتحان آن لازم است در نظر بگیرید	think about the steps to try it	xWant	PersonX agrees to try it
خوشحال	happy	oReact	PersonX agrees upon by the parties
فقط	just	xAttr	PersonX agrees upon by the parties
برای خوشایند بودن	to be agreeable	xIntent	PersonX agrees upon by the parties
برای پیدا کردن هر دو حزب	to find both parties	xNeed	PersonX agrees upon by the parties
کفرآميز	cooperative	xReact	PersonX agrees upon by the parties
خجالت زده	embarrassed	oReact	PersonX airs PersonX's dirty laundry in public
غیرقابل اعتماد	Untrustworthy	xAttr	PersonX airs PersonX's dirty laundry in public
برای اینکه دنیا مشکل های ایکس را بداند	for the world to know x's problems	xIntent	PersonX airs PersonX's dirty laundry in public
در جستجوی مراقبت پزشکی باشند	seek medical attention	xWant	PersonX airs PersonX's dirty laundry in public
امن.	safe.	oReact	PersonX allays PersonY's fears
کمک کننده	helpful	xAttr	PersonX allays PersonY's fears
برای اثبات اینکه هیچ خطری در کار نیست	to show PersonY there is no danger	xNeed	PersonX allays PersonY's fears
مغرور	proud	xReact	PersonX allays PersonY's fears
تا در مورد چیزی صحبت کنیم.	to talk y in to something	xWant	PersonX allays PersonY's fears
خوشحال	happy	oReact	PersonX allows PersonY access
محتاط	wary	xAttr	PersonX allows PersonY access
برای بدست آوردن دوستی او	to get his friendship	xIntent	PersonX allows PersonY access
برای تعیین قابلیت اعتماد شخصی	to determine PersonY's trustworthiness	xNeed	PersonX allows PersonY access
خوشحال از دستیابی به هدفش.	happy about achieving his goal.	xReact	PersonX allows PersonY access
برای ادامه کار	to continue to work	xWant	PersonX allows PersonY access
سپاسگزارم.	grateful	oReact	PersonX allows PersonY time
هماهنگ کننده	accomodating	xAttr	PersonX allows PersonY time
برای مهربانی کردن	to be kind	xIntent	PersonX allows PersonY time
تا بدانند به آن نیاز دارند	to know they need it	xNeed	PersonX allows PersonY time
خوب است.	good	xReact	PersonX allows PersonY time
با افرادی که آماده هستند صحبت کنید	talk to person y when they are ready	xWant	PersonX allows PersonY time
وجد و سرور	ecstatic	oReact	PersonX allows PersonY to keep the dog
قابل لکه دار شدن	malleable	xAttr	PersonX allows PersonY to keep the dog
شخصیتی برای خوشحال بودن	persony to be happy	xIntent	PersonX allows PersonY to keep the dog
سگی داشته باشم که به کس دیگری اجازه نگهداریش را بدهم	have a dog to allow someone else to keep	xNeed	PersonX allows PersonY to keep the dog
عالی است.	great	xReact	PersonX allows PersonY to keep the dog
برای رهایی از مسئولیت	to relieved of responsibility	xWant	PersonX allows PersonY to keep the dog
سپاسگزارم.	grateful	oReact	PersonX allows ___ to enter
بخشنده	indulgent	xAttr	PersonX allows ___ to enter
برای احترام گذاشتن	to be respectful	xIntent	PersonX allows ___ to enter
برای پاسخ به درخواستی	to respond to a request	xNeed	PersonX allows ___ to enter
مغرور	proud	xReact	PersonX allows ___ to enter
برای گفتگو با شخص ایکس	to converse with PersonX	xWant	PersonX allows ___ to enter
خوشحال بودند که توسط ایکس دعوت شدند، آن ها به ایکس علاقه مند شده بودند.	glad that they got asked out by x, they had a crush on x	oReact	PersonX also asked PersonY
کنجکاو	curious	xAttr	PersonX also asked PersonY
برای رفتن به مسابقه با شخصی	to go to the prom with person	xIntent	PersonX also asked PersonY
تا کسی را داشته باشی که از او بپرسی	to have someone to ask	xNeed	PersonX also asked PersonY
آزاردهنده	curoious	xReact	PersonX also asked PersonY
برای پیدا کردن اطلاعات	to find information	xWant	PersonX also asked PersonY
دانستن اینکه	knowing	oReact	PersonX also asked ___
کنجکاو	curious	xAttr	PersonX also asked ___
تا چیزی بفهمم.	to find out something.	xIntent	PersonX also asked ___
تا با پدرشان تماس بگیرند	to call their dad on the phone	xNeed	PersonX also asked ___
باهوش تر	smarter	xReact	PersonX also asked ___
تا بفهمم چه اتفاقی دارد می افتد.	to find out what's going on	xWant	PersonX also asked ___
برای کمک کردن	to be helpful	xIntent	PersonX also gave
چیزی برای بخشیدن داشته باشید	have something to give	xNeed	PersonX also gave
خوشحال	happy	xReact	PersonX also gave
برای بخشیدن به همه چیز	to give to all charities	xWant	PersonX also gave
اطمینان یافته	reassured	oReact	PersonX also gave PersonY ___
یک هدیه	a gift	xAttr	PersonX also gave PersonY ___
تا مطمئن شود خونریزی متوقف شده است.	to make sure the bleeding stopped	xIntent	PersonX also gave PersonY ___
یک بیمار را می بیند.	Sees a patient.	xNeed	PersonX also gave PersonY ___
خوب است.	good	xReact	PersonX also gave PersonY ___
خوشحالم.	pleased	oReact	PersonX also gave ___
دوستانه	friendly	xAttr	PersonX also gave ___
می خواهد چیزی به شخص دیگری بدهد	wants to give something to another person	xIntent	PersonX also gave ___
تا به مردم بفهمانند که خوشحالند	to let persony know they are happy	xWant	PersonX also gave ___
آگهی شده است	informed	oReact	PersonX also told PersonY
بی دقت	careless	xAttr	PersonX also told PersonY
با شخصی حرف بزن.	Talk to PersonY	xNeed	PersonX also told PersonY
گوسپي	gossipy	xReact	PersonX also told PersonY
به شخص دیگری بگو	Tell another person	xWant	PersonX also told PersonY
خوشحال از اینکه کسی آن ها را برداشت	happy someone cared to take them	oReact	PersonX also took PersonY
کمک کننده	helpful	xAttr	PersonX also took PersonY
برای کمک کردن به یک نفر به جایی	to be helpful taking someone someplace	xIntent	PersonX also took PersonY
برای نزدیک شدن به شخصی	to get next to personY	xNeed	PersonX also took PersonY
هیجان زده	excited	xReact	PersonX also took PersonY
آن ها را با کس دیگری درمیان نگذارید	not share them with someone else	xWant	PersonX also took PersonY
آزرده خاطر	annoyed	oReact	PersonX always bragged
براگي	Braggy	xAttr	PersonX always bragged
قابل تحسین.	to be admired.	xIntent	PersonX always bragged
برای رسیدن به موفقیت	to have an accomplishment	xNeed	PersonX always bragged
خوب است.	good.	xReact	PersonX always bragged
برای اینکه با دوست های تازه ای آشنا شوم	to brag to more friends	xWant	PersonX always bragged
دیوانه	mad	oReact	PersonX always fought
مقابله آمیز	confrontational	xAttr	PersonX always fought
برای اینکه یک قلدر باشم	to be a bully	xIntent	PersonX always fought
تا حریف خود را تحت فشار قرار دهند	to push their opponent	xNeed	PersonX always fought
عصبانی	angry	xReact	PersonX always fought
برای بازگرداندن	to retaliate	xWant	PersonX always fought
دوست داشتم	loved	oReact	PersonX always listened
مهربان	kind	xAttr	PersonX always listened
تا دوست خوبی باشم	to be a good friend	xIntent	PersonX always listened
برای احترام به مردم.	to respect people.	xNeed	PersonX always listened
مغرور	proud	xReact	PersonX always listened
تا آنچه را که از مردم آموخته استفاده کند.	to use what he has learned from people.	xWant	PersonX always listened
کمک کرد	helped	oReact	PersonX always told PersonY
؟	?	xAttr	PersonX always told PersonY
برای کمک کردن	to be helpful	xIntent	PersonX always told PersonY
حرف زدن با Y	To converse with Y	xNeed	PersonX always told PersonY
سودمند	useful	xReact	PersonX always told PersonY
نزدیک بودن به Y	To be close to Y	xWant	PersonX always told PersonY
تحسین آمیز	appreciative	oReact	PersonX always told ___
پشتیبان کننده	supportive	xAttr	PersonX always told ___
برای کمک به مردم	to help persony	xIntent	PersonX always told ___
معیارهای بالاتری دارند	have high standard	xNeed	PersonX always told ___
دانشمند	knowledgeable	xReact	PersonX always told ___
برای انجام آن	to do it	xWant	PersonX always told ___
از وسایل نقلیه عمومی استفاده کنید	use public transport	xIntent	PersonX always took ___
جیب ها	pockets	xNeed	PersonX always took ___
مثل اینکه همیشه دیر می کنند	like they're always late	xReact	PersonX always took ___
برای عذرخواهی.	to apologize.	xWant	PersonX always took ___
دستگیر شده	caught	oReact	PersonX announces PersonY's intention
آدم رذل!	snakey	xAttr	PersonX announces PersonY's intention
شخصیتی برای راستگو بودن	persony to be honest	xIntent	PersonX announces PersonY's intention
بلند حرف زدن	to speak aloud	xNeed	PersonX announces PersonY's intention
رضایت خاطر	satisfied	xReact	PersonX announces PersonY's intention
تحت تاثیر قرار گرفته	intrigued	oReact	PersonX announces to everyone
مشتاقانه	enthusiastic	xAttr	PersonX announces to everyone
همه بفهمند	everyone to know	xIntent	PersonX announces to everyone
همه چیز را واضح کنید	make things clear	xWant	PersonX announces to everyone
افتخارآمیز	honored	oReact	PersonX anoints PersonY with oil
پرهیزگار	pious	xAttr	PersonX anoints PersonY with oil
وارد یک مراسم مذهبی شوید	enter a religious ceremony	xNeed	PersonX anoints PersonY with oil
دوست داشتن	loving	xReact	PersonX anoints PersonY with oil
برای باز کردن پارلور ماساژ	to open massage parlour	xWant	PersonX anoints PersonY with oil
کمک کرد	helped	oReact	PersonX answers PersonY questions
