id	prefix	input_text	top	input_text_fa	target_text_fa	pred1_score	pred_text1	nli_group	top	all_preds	target_text
6424.0	xIntent	PersonX achieves PersonX's ___ by means	to achieve goal	PersonX به وسیله ___ PersonX به دست می آید	برای رسیدن به هدف	0.99	to achieve a goal	entailment	to achieve goal	to be successful<br />to achieve something<br />to achieve a goal<br />to accomplish something<br />to be a leader	to achieve goal
63306.0	xIntent	PersonX always wore ___	to look good.	PersonX همیشه ___ می پوشید	خوب به نظر رسیدن	0.98	to look good	entailment	to look good.	to be fashionable<br />to look good<br />to look nice<br />to be stylish<br />to show off his style	to be consistent<br />to look good.
66059.0	xIntent	PersonX achieves PersonX's objective	to accomplish a goal	PersonX به هدف PersonX می رسد	برای رسیدن به یک هدف	0.98	to achieve a goal	entailment	to accomplish a goal	to be successful<br />to achieve his goal<br />to achieve a goal<br />to achieve something<br />to accomplish something	to complete something<br />to accomplish a goal<br />to complete a goal<br />appease himself
1710.0	xIntent	PersonX arrives home that ___	to get some rest	PersonX به خانه می رسد که ___	کمی استراحت کن	0.97	to have a rest	entailment	to get some rest	to be home<br />to relax<br />to go home<br />to have a rest<br />to go to work	to get some rest
54766.0	xIntent	PersonX applies sunscreen	to protect from the sun	PersonX از کرم ضد آفتاب استفاده می کند	برای محافظت از خورشید	0.94	to protect themselves from the sun	entailment	to protect from the sun	to protect themselves from the sun<br />to protect themselves<br />to look good<br />to be safe<br />to protect themselves from sun damage	to protect their skin<br />to protect from the sun<br />to be healthy
32965.0	xIntent	PersonX babysits PersonX's nephew	to help	PersonX برادرزاده PersonX را نگهداری می کند	برای کمک به	0.93	to help out	entailment	to help	to be helpful<br />to be nice<br />to be a parent<br />to help out<br />to be a baby	to help<br />to practice<br />to help a sibling
20849.0	xIntent	PersonX asks PersonY to stay	to talk	PersonX از PersonY می خواهد که بماند	صحبت کردن	0.91	to have a conversation	entailment	to talk	to be helpful<br />to be nice<br />to stay<br />to be respectful<br />to have a conversation	to talk<br />to not be alone<br />more off this person's company
53333.0	xIntent	PersonX arranges a date	to have a date at that time	PersonX یک تاریخ را ترتیب می دهد	در آن زمان قرار بگذارید	0.91	to have a date	entailment	to have a date at that time	to have a date<br />to have fun<br />a date<br />to get married<br />to be with someone	to have a date at that time<br />to help their friend<br />to hang out
8740.0	xIntent	PersonX answers PersonY question	to help person.	PersonX به پرسش PersonY پاسخ می دهد	برای کمک به شخص	0.88	to help person y	neutral	to help person.	to be helpful<br />to help person y<br />to know something<br />to get answers<br />to know what person wants	helpful<br />share knowledge<br />to teach<br />to help person.<br />to give out advice
12557.0	xIntent	PersonX becomes PersonY's wife	to marry y	PersonX همسر PersonY می شود	ازدواج با تو	0.88	to be married	entailment	to marry y	to be a wife<br />to be married<br />to be a partner<br />to have a daughter<br />to be nice	be person y's wife<br />to marry y
41666.0	xIntent	PersonX asks ___ if PersonY could have one	to help	PersonX از ___ می پرسد آیا PersonY می تواند یکی داشته باشد	برای کمک به	0.87	to be helpful	entailment	to help	to be helpful<br />to have a drink<br />to have a pet<br />to have a friend<br />to have a cake	to help<br />them to have one too<br />to try some fish
52995.0	xIntent	PersonX bakes bread	fresh homemade bread	PersonX نان می پزد	نان خانگی تازه	0.87	to make bread	entailment	fresh homemade bread	to make bread<br />to eat<br />to satisfy hunger<br />to eat something<br />to have a snack	fresh homemade bread<br />to have it for dinner.<br />to enjoy fresh baked bread
53588.0	xIntent	PersonX accepts the job	to be employed	PersonX شغل را می پذیرد	استخدام شدن	0.87	to be hired	entailment	to be employed	to be helpful<br />to be hired<br />to be successful<br />to be paid<br />to be a leader	to work<br />to be employed<br />to make money<br />to get a better career<br />to get better pay<br />to support their family
9277.0	xIntent	PersonX adopts PersonY attitude	to act as the person	PersonX نگرش PersonY را اتخاذ می کند	به عنوان شخص عمل کند	0.86	to be a person	entailment	to act as the person	to be helpful<br />to be kind<br />to be nice<br />to be nice to person<br />to be a person	to act as the person<br />change
10614.0	xIntent	PersonX asks PersonY to make	help	PersonX از PersonY می خواهد که بسازد	کمک	0.86	to help	entailment	help	to be helpful<br />to make something<br />to help person y<br />to help<br />to help persony	help<br />to order something<br />support
30730.0	xIntent	PersonX affords PersonY protection	to be protective of person y.	PersonX از PersonY محافظت می کند	محافظت از شخص y	0.85	to protect persony	entailment	to be protective of person y.	to be safe<br />to protect persony<br />to be helpful<br />to be secure<br />none	to help person y<br />to be protective of person y.<br />to make person y feel secure.<br />owes person y a debt
27615.0	xIntent	PersonX attends PersonY school	an education	PersonX در مدرسه PersonY تحصیل می کند	یک آموزش	0.84	to be educated	entailment	an education	to be educated<br />to learn<br />to learn something new<br />to learn something<br />to study	an education<br />to be in school
57452.0	xIntent	PersonX answers the question	to help people	PersonX به این س answersال پاسخ می دهد	برای کمک به مردم	0.83	to be helpful	entailment	to help people	to be helpful<br />to answer the question<br />to know the answer<br />to know something<br />to answer the question.	to be cooperative<br />to help people
75715.0	xIntent	PersonX bakes PersonX's own bread	to eat fresh homemade bread	PersonX نان شخصی PersonX را می پزد	برای خوردن نان خانگی تازه	0.83	to make bread	entailment	to eat fresh homemade bread	to make bread<br />to eat<br />to make something<br />to have a snack<br />to make a meal	to be useful<br />to eat fresh homemade bread<br />to be healthy
32726.0	xIntent	PersonX babysits PersonY's nephew	to help persony	PersonX برادرزاده PersonY را نگهداری می کند	برای کمک به شخص	0.83	to be helpful	entailment	to help persony	to be helpful<br />to be nice<br />to be a parent<br />to help out<br />to help	to make extra money.<br />none<br />to help persony
49985.0	xIntent	PersonX asks to go home	to go rest	PersonX می خواهد به خانه خود برود	برای استراحت رفتن	0.81	to relax	entailment	to go rest	to go home<br />to be home<br />to go home.<br />to relax<br />to be safe	to go rest
20215.0	xIntent	PersonX arrives home from lunch	to rest after lunch	PersonX از ناهار به خانه می رسد	برای استراحت بعد از ناهار	0.81	to have lunch	contradiction	to rest after lunch	to relax<br />to eat<br />to eat lunch<br />to have lunch<br />to be home	to rest after lunch<br />to eat his food
57981.0	xIntent	PersonX applies for a loan	to get more money	PersonX درخواست وام می کند	برای بدست آوردن پول بیشتر	0.81	to make money	entailment	to get more money	to borrow money<br />to get a job<br />to get a loan<br />to make money<br />to be able to borrow	to get more money<br />to be financially secure<br />to have money for something they need or want<br />to buy a car.
64601.0	xIntent	PersonX always watch ___	to watch something interesting	PersonX همیشه ___ تماشا می کند	برای تماشای یک چیز جالب	0.81	to watch a show	neutral	to watch something interesting	to be entertained<br />to watch a movie<br />to be entertained.<br />to watch movies<br />to watch a show	to check whether y is a good person<br />to cheer for his team<br />to watch something interesting
30652.0	xIntent	PersonX becomes fast friends	more friends	PersonX سریع دوست می شود	دوستان بیشتر	0.81	to make friends	entailment	more friends	to be a friend<br />to make friends<br />to be social<br />to be helpful<br />to be fast	more friends<br />to know more people
9598.0	xIntent	PersonX accepts PersonY invitation	to gain person's friendship	PersonX دعوت PersonY را می پذیرد	برای به دست آوردن دوستی شخص	0.8	to be a friend	entailment	to gain person's friendship	to invite person y<br />to be a friend<br />to be helpful<br />to invite persony<br />to be with persony	to enjoy his time<br />the appreciation<br />to go the invited program<br />to see person<br />to gain person's friendship
34167.0	xIntent	PersonX achieves PersonX's dream	to achieve the dream	PersonX به آرزوی PersonX می رسد	برای رسیدن به رویا	0.78	to achieve something	entailment	to achieve the dream	to be successful<br />to be a better person<br />to achieve something<br />to be a good person<br />to be a successful person	to be an astronaut<br />to achieve the dream
4057.0	xIntent	PersonX affords PersonY every ___	to show kindness	PersonX هر ___ PersonY را خریداری می کند	مهربانی نشان دادن	0.78	to be nice	entailment	to show kindness	to be generous<br />none<br />to help persony<br />to be nice<br />to help	job facility in good<br />to show kindness
10575.0	xIntent	PersonX accepts PersonY's invitation	to be polite	PersonX دعوت PersonY را می پذیرد	مودب بودن	0.77	to be nice	entailment	to be polite	to be a friend<br />to be helpful<br />to have a party<br />to be with persony<br />to be nice	to be polite<br />to see persony<br />to not disappoint persony<br />they want to go out with persony<br />they want to be polite<br />they want to attend the event
30170.0	xIntent	PersonX 'd better go	to go somewhere else more important.	PersonX بهتر است برود	برای رفتن به جای دیگری مهم تر	0.76	to go somewhere	entailment	to go somewhere else more important.	to go somewhere<br />to have fun<br />to go to the beach<br />to go<br />to have a party	to go somewhere else more important.
39884.0	xIntent	PersonX asks if PersonY was okay	to gain knowledge	PersonX می پرسد آیا PersonY مشکلی ندارد؟	برای به دست آوردن دانش	0.74	to know something	entailment	to gain knowledge	to know if persony is okay<br />to know<br />to know if persony was okay<br />to make sure persony is okay<br />to know something	to know if he can help persony.<br />to gain knowledge
34577.0	xIntent	PersonX asks PersonY's mother for help	to get support	PersonX از مادر PersonY کمک می خواهد	برای گرفتن پشتیبانی	0.73	to get help	entailment	to get support	help<br />to be helpful<br />to get help<br />to help<br />to help someone	to find answer<br />to figure out how to knit<br />to get support<br />personx cannot do it alone
66652.0	xIntent	PersonX asks ___ for one	to ask for something.	PersonX از ___ یک درخواست می کند	چیزی خواستن	0.73	to ask for a gift	neutral	to ask for something.	to be helpful<br />to get something<br />to get a gift<br />to have a friend<br />to ask for a gift	to ask for something.<br />one
62935.0	xIntent	PersonX also loved ___	to enjoy themselves	PersonX همچنین ___ را دوست داشت	لذت ببرند	0.73	to have a good time	entailment	to enjoy themselves	to be loved<br />to show love<br />to have a good time<br />to be liked<br />to be a friend	to be entertained<br />to enjoy themselves
42070.0	xIntent	PersonX asks ___ to go with PersonY	to go on a date with persony	PersonX از ___ می خواهد که با PersonY برود	برای دیدار با شخصیتی	0.73	to go with persony	entailment	to go on a date with persony	to go with person y<br />to be with person y<br />to be with persony<br />to go with persony<br />to go somewhere	them to have someone with them while they go<br />to go on a date with persony<br />to facilitate a friendship
10549.0	xIntent	PersonX answers PersonX's purpose	to have meaning.	PersonX به هدف PersonX پاسخ می دهد	معنی داشتن	0.73	to be understood	entailment	to have meaning.	to be helpful<br />to fulfill his purpose<br />to be understood<br />to be helpful.<br />to help	to have meaning.
11514.0	xIntent	PersonX becomes PersonY wife	to be together	PersonX همسر PersonY می شود	برای با هم بودن	0.72	to be a partner	entailment	to be together	to be a wife<br />to be married<br />to have a daughter<br />to be a partner<br />to get married	to be becomes<br />to be secure<br />to be together
44797.0	xIntent	PersonX answers the door	to see who is at the door	PersonX جواب در را می دهد	برای دیدن اینکه چه کسی درب است	0.72	to answer the door	neutral	to see who is at the door	to be helpful<br />to answer the door<br />to go home<br />to get in<br />none	see who is there<br />to greet his friend<br />to see who is at the door
32268.0	xIntent	PersonX asks PersonY's boyfriend	to be informed	PersonX از دوست پسر PersonY می پرسد	مطلع شدن	0.71	to know	entailment	to be informed	to find out<br />to know something<br />to get a date<br />to know what persony wants<br />to know	to know what he did last night<br />to be informed
31206.0	xIntent	PersonX amends PersonY act	to make things right.	PersonX عمل PersonY را اصلاح می کند	درست کردن کارها	0.7	to make amends	entailment	to make things right.	to be helpful<br />to make person y happy<br />to make amends<br />to be fair<br />to make persony happy	to make things right.<br />to fix the act.
73555.0	xIntent	PersonX asks PersonY's teacher	to get information.	PersonX از معلم PersonY س asksال می کند	برای گرفتن اطلاعات.	0.69	to know something	entailment	to get information.	to learn something<br />to know something<br />to learn<br />to be helpful<br />to find out	to get information.
30005.0	xIntent	PersonX achieves PersonY objective	to succeed for their boss	PersonX به هدف PersonY می رسد	برای رئیس خود موفق شوند	0.68	to be successful	entailment	to succeed for their boss	to be successful<br />to achieve something<br />to achieve a goal<br />to accomplish something<br />to be a leader	to succeed for their boss
9635.0	xIntent	PersonX addresses PersonY audience	to give speech	PersonX مخاطبان PersonY را مخاطب قرار می دهد	سخنرانی کردن	0.67	to talk	entailment	to give speech	to be heard<br />to be helpful<br />to talk<br />to talk to person<br />to be heard.	to give speech<br />to direct attention<br />to provide background
74753.0	xIntent	PersonX beats PersonX's swords into ploughshares	to destroy it	PersonX شمشیرهای PersonX را به گاو آهن می زند	از بین بردن آن	0.67	to kill	entailment	to destroy it	to get revenge<br />to win<br />to win the game<br />to kill<br />to win the fight	mean<br />to destroy it
72056.0	xIntent	PersonX also ordered ___	the same meal as them	PersonX همچنین سفارش ___	همان وعده غذایی آنها	0.65	to have a meal	entailment	the same meal as them	to eat<br />to eat something<br />to be helpful<br />to have a party<br />to have a meal	to watch movies<br />the same meal as them<br />to drive away hunger
70807.0	xIntent	PersonX accepts the invitation	to be with other people	PersonX دعوت را می پذیرد	بودن با افراد دیگر	0.65	to be a part of something	entailment	to be with other people	to attend a party<br />to go to a party<br />to have a party<br />to be a friend<br />to be a part of something	to go<br />to be with other people<br />to have fun<br />to be polite<br />to see some people
47925.0	xIntent	PersonX accepts happily	to take the opportunity	PersonX با خوشحالی قبول می کند	استفاده از فرصت	0.65	to be accepted	entailment	to take the opportunity	to be accepted<br />to be happy<br />to be loved<br />to have a good time<br />to have a happy life	none<br />to take the opportunity
32067.0	xIntent	PersonX asks PersonX's boyfriend	to know the truth	PersonX از دوست پسر PersonX می پرسد	تا حقیقت را بشناسیم	0.65	to know something	entailment	to know the truth	to find out<br />to get a date<br />to know something<br />to know<br />to find out what is wrong	to know the truth<br />needs help
14471.0	xIntent	PersonX arrives at PersonY understanding	to accepting	PersonX به درک PersonY می رسد	قبول کردن	0.63	to understand	entailment	to accepting	to be helpful<br />to be understood<br />to understand<br />to help persony<br />to help	to accepting
53301.0	xIntent	PersonX acts weird	to be wacky	PersonX عجیب عمل می کند	حواس پرت بودن	0.63	to be funny	entailment	to be wacky	to be funny<br />to be nice<br />to be mean<br />to be rude<br />to be a person	none<br />attention<br />to be wacky
70632.0	xIntent	PersonX agrees to the challenge	to conquer something	PersonX با این چالش موافقت می کند	برای تسخیر چیزی	0.62	to do something	entailment	to conquer something	to be helpful<br />to be challenged<br />to be a leader<br />to win<br />to do something	to prove his power<br />to fulfill his dream to eat as much ice cream as possible<br />to conquer something
29822.0	xIntent	PersonX achieves PersonY effect	make person y stronger	PersonX به اثر PersonY دست می یابد	فرد را قویتر کنید	0.61	to achieve persony	entailment	make person y stronger	to achieve persony effect<br />to be successful<br />to achieve something<br />to be a person<br />to achieve persony	make person y stronger
53730.0	xIntent	PersonX always ate	to statisfy hunger	PersonX همیشه غذا می خورد	به گرسنگی رساندن	0.6	to eat	contradiction	to statisfy hunger	to eat<br />to be healthy<br />to eat healthy<br />to eat something<br />to eat healthy food	to statisfy hunger<br />to release stress
51195.0	xIntent	PersonX asks to play	to be involved	PersonX درخواست بازی می کند	درگیر شدن	0.6	to be entertained	neutral	to be involved	to have fun<br />to be entertained<br />to play<br />to have fun.<br />to have a game	to relax  his mind<br />to be part of a group<br />to be involved
66025.0	xIntent	PersonX affects PersonY's interests	to motivate more	PersonX بر منافع PersonY تأثیر می گذارد	برای ایجاد انگیزه بیشتر	0.58	to be influential	neutral	to motivate more	to influence person y<br />to be helpful<br />to be influential<br />to influence persony<br />to be a good person	to motivate more
12032.0	xIntent	PersonX asks PersonY to go	to do work	PersonX از PersonY می خواهد که برود	کار انجام دادن	0.58	to be helpful	neutral	to do work	to see person y<br />to be helpful<br />to go somewhere<br />to see persony<br />to go	to be inclusive<br />to do work<br />to buy
20010.0	xIntent	PersonX answers PersonY's question	inform the person	PersonX به پرسش PersonY پاسخ می دهد	به شخص اطلاع دهید	0.57	to know something	entailment	inform the person	to be helpful<br />to answer a question<br />to help person y<br />to know something<br />to know what persony wants	let the inquirer get their answer<br />inform the person
73361.0	xIntent	PersonX answers PersonY's letter	to respond to y	PersonX به نامه PersonY پاسخ می دهد	پاسخ دادن به y	0.57	to help person y	neutral	to respond to y	to be helpful<br />to help person y<br />to be helpful.<br />to help persony<br />to help	to be respectful<br />to reply<br />to respond to y
53377.0	xIntent	PersonX also decided	to think that conclusion is right	PersonX نیز تصمیم گرفت	فکر کردن که نتیجه گیری درست است	0.57	to make a decision	entailment	to think that conclusion is right	to make a decision<br />to have a good time<br />to be a better person<br />to be a good person<br />to be a good friend	to think that conclusion is right<br />in  charge.
44692.0	xIntent	PersonX accepts the offer	to benefit from it	PersonX این پیشنهاد را می پذیرد	از آن بهره مند شوند	0.56	to be helpful	entailment	to benefit from it	to be generous<br />to be helpful<br />to be nice<br />to be a friend<br />to be a partner	the job<br />to make a deal<br />to get the new job<br />to benefit from it
2297.0	xIntent	PersonX accepts ___ in exchange	happy	PersonX در عوض ___ را می پذیرد	خوشحال	0.56	to be nice	entailment	happy	to be generous<br />to be helpful<br />to be nice<br />to get something<br />to win	happy<br />accepts the dress in exchange
3407.0	xIntent	PersonX becomes fast ___	to be social	PersonX سریع ___ می شود	اجتماعی بودن	0.56	to be a good person	neutral	to be social	to be fast<br />to be a fast person<br />to be a good person<br />to get a job<br />to be able to move	to be social
11691.0	xIntent	PersonX accepts PersonY offer	to be paid	PersonX پیشنهاد PersonY را می پذیرد	پرداخت می شود	0.55	to be generous	neutral	to be paid	to be helpful<br />to be generous<br />to help person y<br />to be nice<br />to make a decision	to gain something<br />job<br />to be paid
3221.0	xIntent	PersonX achieves ___ by means	to be in control	PersonX به وسیله ___ به دست می آورد	تحت کنترل بودن	0.55	to accomplish something	entailment	to be in control	to achieve something<br />to be successful<br />to accomplish something<br />to achieve something.<br />to achieve	tried hard to come back<br />to be in control
78176.0	xIntent	PersonX arrives shortly	to be on time.	PersonX به زودی می رسد	سروقت بودن.	0.54	to be there	entailment	to be on time.	to be there<br />to be home<br />to be in the city<br />to be in the area<br />to be in the office	to be on time.
78546.0	xIntent	PersonX argues a lot	convince someone	PersonX بحث های زیادی دارد	کسی را متقاعد کردن	0.54	to have a good argument	neutral	convince someone	to be helpful<br />to have a good time<br />to have a good argument<br />to win<br />to be a better person	his opinion to be recognized as valid<br />to release stress<br />to be controversial<br />convince someone
17070.0	xIntent	PersonX accepts PersonY's offer	to obtain something.	PersonX پیشنهاد PersonY را می پذیرد	بدست آوردن چیزی.	0.54	to be helpful	neutral	to obtain something.	to be helpful<br />to be generous<br />to be nice<br />to be a friend<br />to have a conversation	to buy the things<br />to obtain something.<br />to form agreement<br />to move past disagreement
9356.0	xIntent	PersonX bases on PersonX's experience	wise	PersonX بر اساس تجربه PersonX است	عاقلانه	0.54	to learn	neutral	wise	to make a decision<br />to learn something new<br />to be informed<br />to learn something<br />to learn	veteran<br />wise
53694.0	xIntent	PersonX asks the teacher	to clarify something	PersonX از معلم می پرسد	برای روشن کردن چیزی	0.53	to be helpful	neutral	to clarify something	to learn something<br />to learn<br />to be helpful<br />to learn something new<br />to know what to do	to clarify something<br />to get an opinion<br />to know the answer<br />explanations
22822.0	xIntent	PersonX bats PersonX's eyelashes	to be flirtatious.	PersonX مژه های PersonX را می زند	عاشق بودن	0.52	to be nice	entailment	to be flirtatious.	to look good<br />to be nice<br />to get rid of a problem<br />to show off his eyes<br />to be a good person	to be flirtatious.
33690.0	xIntent	PersonX asks PersonX's grandma	to know where his mother has gone	PersonX از مادربزرگ PersonX می پرسد	تا بداند مادرش کجا رفته است	0.51	to find out what happened	entailment	to know where his mother has gone	to know something<br />to find out<br />to know the answer<br />to know<br />to find out what happened	to visit her.<br />to know if he can come over<br />to know where his mother has gone<br />to confirm his use of new suit to the function
72489.0	xIntent	PersonX adapts ___ to conditions	to learn new things	PersonX ___ را با شرایط سازگار می کند	برای یادگیری چیزهای جدید	0.51	to adapt	entailment	to learn new things	to be adaptable<br />to be helpful<br />to be a better person<br />to be prepared<br />to adapt	to learn new things<br />he is rules and contional is change
428.0	xIntent	PersonX affects children 's ___	to hurt	PersonX بر روی کودکان ___ تأثیر می گذارد	آسیب زدن	0.49	to help	contradiction	to hurt	to be helpful<br />to make a difference<br />to be responsible<br />to be a parent<br />to help	i like to very satisfied<br />to hurt
33727.0	xIntent	PersonX asks PersonY's grandma	to ask with person y's grandmother	PersonX از مادربزرگ PersonY می پرسد	با مادربزرگ شخص	0.48	to know what persony wants	neutral	to ask with person y's grandmother	to know something<br />to find out<br />to know<br />to find out something<br />to know what persony wants	to see if he can come over for dinner<br />an advice.<br />to ask with person y's grandmother
49663.0	xIntent	PersonX becomes distracted	to procrastinate	PersonX منحرف می شود	به تعویق انداختن	0.48	to be productive	contradiction	to procrastinate	to be productive<br />to be entertained<br />to be distracted<br />to be a parent<br />none	to procrastinate<br />to change the topic
1202.0	xIntent	PersonX bears ___ unto the PersonY	persony to be believed	PersonX ___ را به PersonY حمل می کند	شخصیتی که باید باور کرد	0.45	to be kind	neutral	persony to be believed	to be kind<br />to be helpful<br />to show love<br />to show affection<br />none	persony to be believed
77460.0	xIntent	PersonX becomes flat	to change to a man	PersonX صاف می شود	تبدیل شدن به یک مرد	0.44	to be a good person	neutral	to change to a man	to be nice<br />to be comfortable<br />to be slender<br />to hide<br />to be a good person	to change to a man
45373.0	xIntent	PersonX always wore	to be consistent.	PersonX همیشه می پوشید	ثابت قدم بودن	0.42	to look good	neutral	to be consistent.	to be fashionable<br />to look good<br />to look nice<br />to be stylish<br />to show off his style	to be consistent.
15636.0	xIntent	PersonX asks PersonY's mother	to go shopping with person.	PersonX از مادر PersonY می پرسد	برای رفتن به خرید با شخص.	0.41	to know what persony wants	neutral	to go shopping with person.	to know something<br />to find out<br />to know<br />to know what is going on<br />to know what persony wants	to go shopping with person.
28488.0	xIntent	PersonX adjusts spacing as well as minimizing	to have a perfect document	PersonX فاصله را تنظیم کرده و همچنین به حداقل می رساند	داشتن یک سند کامل	0.38	to be helpful	neutral	to have a perfect document	to be helpful<br />to be more efficient<br />to be able to be helpful<br />to be a better person<br />to be able to be more efficient	to have a perfect document
6205.0	xIntent	PersonX affects every ___	personal object	PersonX بر هر ___ تأثیر می گذارد	شی شخصی	0.38	to be a person	entailment	personal object	to be helpful<br />to make a difference<br />to be responsible<br />to be a person<br />none	personal object
6239.0	xIntent	PersonX affords every ___	to be secure in the home	PersonX هر ___ را تأمین می کند	برای امنیت در خانه	0.37	to be generous	contradiction	to be secure in the home	to be generous<br />none<br />to have a good life<br />to have a good time<br />to have a nice life	to be secure in the home
25678.0	xIntent	PersonX asks for the moon	to be greedy	PersonX ماه را می خواهد	حرص خوردن	0.36	to get the moon	neutral	to be greedy	to see the moon<br />to get the moon<br />to get a moon<br />to have a moon<br />to have a good time	to be greedy
65662.0	xIntent	PersonX affords another ___	this is example for others	PersonX ___ دیگری تهیه می کند	این نمونه ای برای دیگران است	0.35	to be generous	neutral	this is example for others	to be generous<br />to have a new car<br />to have a new home<br />to have a good time<br />to have a friend	to clearly explain the concept<br />this is example for others
1624.0	xIntent	PersonX assumes another ___	to change their identity	PersonX ___ دیگری فرض می کند	برای تغییر هویت آنها	0.33	to be a friend	contradiction	to change their identity	to be safe<br />to be helpful<br />to be a friend<br />none<br />to be nice	to change their identity
27354.0	xIntent	PersonX asks PersonY to show	to clarify his doubts	PersonX از PersonY می خواهد که نشان دهد	تا شبهات خود را روشن کند	0.3	to be helpful	neutral	to clarify his doubts	to show persony something<br />to show person y<br />to show persony<br />to be helpful<br />to show something	to clarify his doubts
