input_text	prefix	target_text
PersonX asks PersonY's little brother	xEffect	gets left hanging
PersonX asks PersonY's sister	xEffect	learns something new
PersonX asks PersonY's sister	xEffect	gets what info they were looking for
PersonX asks PersonY's sister	xEffect	comes back home
PersonX asks PersonY's sister	xEffect	makes a phone call to person Y's sister
PersonX asks ___ for a raise	xEffect	gets rejected
PersonX asks ___ for a raise	xEffect	gets a raise
PersonX asks ___ for a raise	xEffect	Explains things
PersonX asks ___ for a raise	xEffect	Gives reason
PersonX asks ___ for money	xEffect	Person X looks embarrassed
PersonX asks ___ for money	xEffect	Person X makes excuses
PersonX asks ___ for money	xEffect	PersonX gains money
PersonX asks ___ for money	xEffect	PersonX sweats from nervousness to ask for money
PersonX asks ___ for money	xEffect	gets money
PersonX asks ___ for money	xEffect	says thank you
PersonX asks anyone	xEffect	learns a lot
PersonX asks anyone	xEffect	makes friends
PersonX asks anyone	xEffect	gets the answers
PersonX asks anyone	xEffect	gets ignired
PersonX asks the doctor	xEffect	none
PersonX asks the doctor	xEffect	Listens to doctor
PersonX asks the doctor	xEffect	Gets medication
PersonX asks the doctor	xEffect	Gets help
PersonX assigns ___ to groups	xEffect	gets yelled at
PersonX assigns ___ to groups	xEffect	asked questions
PersonX assigns ___ to groups	xEffect	receives results
PersonX assigns ___ to groups	xEffect	gets thanked
PersonX assigns ___ to groups	xEffect	makes things easier for everyone
PersonX assigns ___ to groups	xEffect	makes some people mad
PersonX attains PersonX's goals	xEffect	smiles
PersonX attains PersonX's goals	xEffect	needs a rest
PersonX attains PersonX's goals	xEffect	Works towards his goals
PersonX attains PersonX's goals	xEffect	Learns new things that might help him
PersonX attends PersonX's father 's ___	xEffect	cries
PersonX attends PersonX's father 's ___	xEffect	blows nose
PersonX attends PersonY's father 's ___	xEffect	none
PersonX attends PersonY's father 's ___	xEffect	cries
PersonX attends PersonY's father 's ___	xEffect	realizing
PersonX attends college	xEffect	is accomplished
PersonX attends college	xEffect	is a good job candidate
PersonX attends college	xEffect	PersonX graduates college
PersonX attends college	xEffect	PersonX meets new friends
PersonX attends college	xEffect	Gets knowledge
PersonX attends college	xEffect	Learns a skill
PersonX attention whores	xEffect	does not get attention
PersonX attention whores	xEffect	Gets shamed
PersonX attention whores	xEffect	is ignored
PersonX attention whores	xEffect	receives bad attention
PersonX attention whores	xEffect	none
PersonX avoids every ___	xEffect	ends up avoiding chances at friendship as well
PersonX avoids every ___	xEffect	has a quiet boring life.
PersonX avoids every ___	xEffect	none
PersonX avoids every ___	xEffect	hides
PersonX avoids every ___	xEffect	becomes a hermit
PersonX avoids every ___	xEffect	stays home
PersonX babysits PersonX's cousin	xEffect	yells
PersonX babysits PersonX's cousin	xEffect	waves hands
PersonX babysits PersonX's cousin	xEffect	gets shocked
PersonX babysits PersonX's cousin	xEffect	sings songs
PersonX babysits PersonX's cousin	xEffect	gets paid
PersonX babysits PersonX's cousin	xEffect	IT CUTENESS
PersonX babysits PersonY's cousin	xEffect	PersonX gets money
PersonX babysits PersonY's cousin	xEffect	PersonX is annoyed with PersonY's cousin
PersonX babysits PersonY's cousin	xEffect	gets payed
PersonX babysits PersonY's cousin	xEffect	gets exhausted
PersonX bakes an apple pie	xEffect	shares it with friends
PersonX bakes an apple pie	xEffect	eats it all by himself
PersonX bakes an apple pie	xEffect	person x makes something
PersonX bakes an apple pie	xEffect	person x on physical work
PersonX bakes an apple pie	xEffect	gets dirty
PersonX bakes an apple pie	xEffect	time out of his day
PersonX barely missed ___	xEffect	heart races
PersonX barely missed ___	xEffect	sighs in relief
PersonX barely missed ___	xEffect	PersonX yells in panick at the airplane
PersonX barely missed ___	xEffect	PersonX stresses out and begins to sweat
PersonX bats PersonX's eyes	xEffect	none
PersonX bats PersonX's eyes	xEffect	GETS INJURE
PersonX bats PersonX's eyes	xEffect	GETS BLEEDING
PersonX bats PersonX's eyes	xEffect	NONE
PersonX bats PersonX's eyes	xEffect	NONE
PersonX bats PersonX's eyes	xEffect	none
PersonX beats PersonY easily	xEffect	none
PersonX beats PersonY easily	xEffect	reaches clarity
PersonX beats PersonY easily	xEffect	has success
PersonX beats ___ easily	xEffect	gets congratulated
PersonX beats ___ easily	xEffect	gets challenged again
PersonX beats ___ easily	xEffect	celebrates
PersonX beats ___ easily	xEffect	cheers
PersonX beats ___ easily	xEffect	becomes a champion
PersonX beats ___ easily	xEffect	gets congratulated
PersonX beats around the bush	xEffect	avoids eye contact
PersonX beats around the bush	xEffect	turns away
PersonX beats around the bush	xEffect	twitches nervously
PersonX beats around the bush	xEffect	avoids eye contact
PersonX beats around the bush	xEffect	stutters
PersonX beats around the bush	xEffect	looks down
PersonX beats everyone	xEffect	gains recognition
PersonX beats everyone	xEffect	gets a better position
PersonX beats everyone	xEffect	tired
PersonX beats everyone	xEffect	sweat
PersonX beats everyone	xEffect	go to jail
PersonX beats everyone	xEffect	escape from the event
PersonX beats it	xEffect	walks home
PersonX beats it	xEffect	runs
PersonX beats it	xEffect	plays again
PersonX beats it	xEffect	celebrates
PersonX becomes PersonY agent	xEffect	Professional
PersonX becomes PersonY agent	xEffect	Works hard
PersonX becomes PersonY agent	xEffect	Spends more time with Y
PersonX becomes PersonY agent	xEffect	Markets Y
PersonX becomes PersonY member	xEffect	go to meeting
PersonX becomes PersonY member	xEffect	receive benefit
PersonX becomes PersonY member	xEffect	none
PersonX becomes PersonY member	xEffect	receives support
PersonX becomes PersonY member	xEffect	receives acceptance
PersonX becomes a doctor	xEffect	is always tired
PersonX becomes a doctor	xEffect	makes lots of money
PersonX becomes a doctor	xEffect	becomes proud
PersonX becomes a doctor	xEffect	gets a medical license
PersonX becomes a great basketball player	xEffect	gets to go to draft
PersonX becomes a great basketball player	xEffect	gets signing bonus
PersonX becomes a great basketball player	xEffect	gets fans
PersonX becomes a great basketball player	xEffect	gets famous
PersonX becomes a great basketball player	xEffect	get compliments
PersonX becomes a great basketball player	xEffect	gets a deal
PersonX becomes a great basketball player	xEffect	is seen on TV
PersonX becomes a lawyer	xEffect	feels excitement
PersonX becomes a lawyer	xEffect	feels stressed out
PersonX becomes a lawyer	xEffect	gets given a case
PersonX becomes a lawyer	xEffect	gets sent to trial
PersonX becomes a lawyer	xEffect	gets accolades
PersonX becomes a lawyer	xEffect	gets jeers
PersonX becomes a pilot	xEffect	flys around passengers
PersonX becomes a pilot	xEffect	sees the world
PersonX becomes a pilot	xEffect	piolts a plane
PersonX becomes a pilot	xEffect	goes into a plane
PersonX becomes a pilot	xEffect	gets hired by an airline
PersonX becomes a pilot	xEffect	Learns to fly
PersonX becomes a pilot	xEffect	Drives a plane
PersonX becomes another ___	xEffect	becomes sad
PersonX becomes another ___	xEffect	gets confused
PersonX becomes frustrated	xEffect	blood pressure goes up.
PersonX becomes frustrated	xEffect	is in a bad mood.
PersonX becomes frustrated	xEffect	gives up
PersonX becomes frustrated	xEffect	blame on themselves or others
PersonX becomes frustrated	xEffect	FEEL IRRITABLE
PersonX becomes frustrated	xEffect	ABBOYED AND ANGRY
PersonX becomes great	xEffect	becomes proud
PersonX becomes great	xEffect	is known by others
PersonX becomes great	xEffect	to becomes geat
PersonX becomes great	xEffect	to little bit
PersonX becomes great friends	xEffect	meets new people
PersonX becomes great friends	xEffect	discovers their common interests
PersonX becomes great friends	xEffect	none
PersonX becomes happy	xEffect	go to home
PersonX becomes happy	xEffect	buy new bike
PersonX becomes ill	xEffect	vomits
PersonX becomes ill	xEffect	sleeps all day
PersonX becomes ill	xEffect	Person x throws up
PersonX becomes ill	xEffect	Person x temperature is elevated
PersonX becomes ill	xEffect	Person x is flushed
PersonX becomes ill	xEffect	Person x coughs and sneezes
PersonX becomes ill	xEffect	Goes to doctor
PersonX becomes ill	xEffect	Take tablets
PersonX becomes intolerable	xEffect	gets told to be quiet
PersonX becomes intolerable	xEffect	changes attitude
PersonX becomes intolerable	xEffect	PersonX gets kicked out
PersonX becomes intolerable	xEffect	PersonX is shunned
PersonX becomes intolerable	xEffect	is avoided by others
PersonX becomes intolerable	xEffect	is yelled at
PersonX becomes scared	xEffect	shakes
PersonX becomes scared	xEffect	hides
PersonX becomes scared	xEffect	none
PersonX becomes scared	xEffect	hairs stand on end
PersonX becomes scared	xEffect	heart rate increases
PersonX becomes scared	xEffect	blood pressure rises
PersonX becomes scared	xEffect	gets goosebumps
PersonX becomes smarter	xEffect	discovers day trading hack, becomes a billionaire
PersonX becomes smarter	xEffect	gets cockier, attracts more women
PersonX becomes smarter	xEffect	PersonX gains knowledge of a subject
PersonX becomes smarter	xEffect	PersonX becomes more decisive
PersonX becomes very frustrated	xEffect	X feels sick to the stomach
PersonX becomes very frustrated	xEffect	X punches the wall
PersonX becomes very happy	xEffect	smiles
PersonX becomes very happy	xEffect	gets excited
PersonX becomes very ill	xEffect	goes to hospital
PersonX becomes very ill	xEffect	takes medicine
PersonX becomes very ill	xEffect	admits in hospital
PersonX becomes very ill	xEffect	got death
PersonX becomes very ill	xEffect	coughs
PersonX becomes very ill	xEffect	fears
PersonX begins crying	xEffect	frowns
PersonX begins crying	xEffect	wants to feel better
PersonX begins crying	xEffect	feels better
PersonX begins crying	xEffect	goes into depression
PersonX begins school	xEffect	gains knowledge
PersonX begins school	xEffect	learns new skills
PersonX begins school	xEffect	improve knowledge
PersonX begins school	xEffect	learns a new skill
PersonX begins school	xEffect	gains knowledge
PersonX begins school	xEffect	makes friends
PersonX begins to bleed	xEffect	faints
PersonX begins to bleed	xEffect	goes to hospital
PersonX begins to bleed	xEffect	cries
PersonX begins to bleed	xEffect	lays down
PersonX begins to bleed	xEffect	gets weak
PersonX begins to bleed	xEffect	hurts
PersonX begins to eat	xEffect	issues saliva
PersonX begins to eat	xEffect	digests the food
PersonX begins to eat	xEffect	produces wastes
PersonX begins to eat	xEffect	becomes well fed
PersonX begins to eat	xEffect	accidentally drops some food on the ground
PersonX begins to eat	xEffect	gets dirty
PersonX begins to eat	xEffect	smells like food he/she eating
PersonX begins to eat	xEffect	becomes full
PersonX begins to eat	xEffect	becomes appreciative of the cook
PersonX begins to eat it	xEffect	chews the food
PersonX begins to eat it	xEffect	enjoys the taste
PersonX begins to eat it	xEffect	salivates
PersonX begins to eat it	xEffect	stomach growls
PersonX begs PersonX's parents for one	xEffect	got a positive result
PersonX begs PersonX's parents for one	xEffect	achieved his goal
PersonX begs PersonX's parents for one	xEffect	kneels down
PersonX begs PersonX's parents for one	xEffect	cries
PersonX begs PersonX's parents for one	xEffect	shouts
PersonX begs PersonX's parents for one	xEffect	person x doesnt get what they want
PersonX begs PersonX's parents for one	xEffect	stresses out
PersonX begs PersonY's parents	xEffect	none
PersonX begs PersonY's parents	xEffect	gets rejected
PersonX begs PersonY's parents	xEffect	storms out of the meeting
PersonX begs PersonY's parents	xEffect	gets rejected
PersonX begs PersonY's parents	xEffect	gets laughed at
PersonX begs PersonY's parents for one	xEffect	cajoles
PersonX begs PersonY's parents for one	xEffect	pleads
PersonX begs PersonY's parents for one	xEffect	cries
PersonX begs PersonY's parents for one	xEffect	none
PersonX begs PersonY's parents for one	xEffect	speaks to beg.
PersonX begs PersonY's parents for one	xEffect	heart rate increases with desire.
PersonX begs my parents	xEffect	gets turned down
PersonX begs my parents	xEffect	looked down on
PersonX begs my parents	xEffect	help to personX
PersonX begs my parents	xEffect	listen to personX
PersonX begs my parents	xEffect	For toys
PersonX begs my parents	xEffect	Or money
PersonX believes also in PersonY	xEffect	none
PersonX believes also in PersonY	xEffect	none
PersonX believes also in PersonY	xEffect	smiles at PersonY
PersonX believes also in PersonY	xEffect	supports PersonY
PersonX believes also in PersonY	xEffect	pats PersonY on the back
PersonX believes also in PersonY	xEffect	stands up
PersonX belongs to PersonX's father	xEffect	none
PersonX belongs to PersonX's father	xEffect	Goes fishing
PersonX belongs to PersonX's father	xEffect	Goes golfing
PersonX bestows ___ upon PersonY	xEffect	PersonX knights PersonY
PersonX bestows ___ upon PersonY	xEffect	PersonX crowns PersonY
PersonX bestows ___ upon PersonY	xEffect	none
PersonX bestows ___ upon PersonY	xEffect	makes friends
PersonX bestows ___ upon PersonY	xEffect	shakes hands
PersonX bestows upon PersonY	xEffect	none
PersonX bestows upon PersonY the ___	xEffect	none
PersonX bestows upon PersonY the ___	xEffect	becomes proud of PersonY
PersonX bestows upon PersonY the ___	xEffect	demonstrates their leadership
PersonX bestows upon PersonY the ___	xEffect	announces the bestowment
PersonX bestows upon PersonY the ___	xEffect	puts a crown on PersonY
PersonX bites PersonX's ___ to keep	xEffect	personX tastes blood
PersonX bites PersonX's ___ to keep	xEffect	personX loses their temper
PersonX bites PersonX's ___ to keep	xEffect	Bleeds
PersonX bites PersonX's ___ to keep	xEffect	Stays quiet
PersonX bites PersonX's ___ to keep	xEffect	PersonX tastes blood
PersonX bites PersonX's ___ to keep	xEffect	PersonX lunges toward PersonY
PersonX bites PersonX's nails	xEffect	they get a hangnail
PersonX bites PersonX's nails	xEffect	they cut their cuticle
PersonX bites PersonX's nails	xEffect	Gets bacteria in his mouth
PersonX bites PersonX's nails	xEffect	Gets sick
PersonX bites PersonX's nails	xEffect	has short nails
